채용공고고유번호,경력년수정보명,해당채용공고키워드명,조회수,기업명,채용공고제목,업종직종정보명,경력조건정보명,급여수준정보명,학력제한정보명,데이터기준일자,데이터기준일자2
37285389,3년 이상,"단체급식, 조리사",0,올바른,단체급식 조리사모집(주5일제),,경력,290000,대졸(2~3년),2021-02-03,2021
38529985,5년 이상,"시설관리, 기계관리, 빌딩관리",0,㈜유앤미시스템,경희대우정원 시설사원(기전) 채용,,경력,290000,고졸,2021-07-01,2021
38529767,1년 이상,"건설, 건설안전, 산업안전",0,프라이드 안전,경기과천 태영건설 현장 안전감시단 주간 모집(식사제공),,경력,290000,학력무관,2021-07-01,2021
38530118,,"생산, 생산직, 포장",0,주식회사 진성산업,[주.야 2교대]아이스크림 생산 및 포장 사원 모집,,관계없음,290000,학력무관,2021-07-01,2021
39321849,,"스포츠센터, 인포메이션",0,에스엠기구,헬스장 인포메이션 실장님 모십니다.곧 2호점 오픈후 진급,스포츠·여가·레저; 레저·스포츠; 비서·안내,관계없음,290000,학력무관,2021-10-02,2021
37262790,,"식품, 매니저",0,㈜마마쿡,프렌차이즈 매장 매니저를 모집합니다,,관계없음,290000,학력무관,2021-04-03,2021
37744166,1년 이상,"PCB SMT OP, 메카트로닉스, 자동차",0,㈜다이든,[LG;현대 1차/기숙사/통근버스] PCB SMT OP / 검사 사원 인원 모집,,경력,290000,학력무관,2021-04-02,2021
39572168,,"광고기획, 광고대행, 홍보대행",0,더 클래스 엠(THE Class M),통역 및 마케팅 가능한 우즈베키스탄;러시아인 채용,광고·홍보·전시; 마케팅·광고·분석; 홍보·PR; 외국어·번역·통역,관계없음,290000,학력무관,2021-11-01,2021
39323834,1년 이상,네일아트,0,노브살롱,[정규직] 네일리스트 경력자&강사채용,뷰티·미용; 뷰티·미용·애완,경력,290000,고졸,2021-10-03,2021
39017716,1년 이상,"홈쇼핑, 모바일UI, 웹UI",0,홈 프레시,[남양주]웹기획; 포토샵; 영상편집 가능자 대환영,방송·케이블·프로덕션; 동영상제작·편집; 웹디자인,경력,290000,학력무관,2021-09-03,2021
